user_id,active_month,avg_month_logins_amount,days_since_last_login,frecuency_score_last_active_month,is_churn,avg_month_fiat_payment_volumen,avg_month_fiat_payment_tx_amount,avg_month_crypto_payment_volumen,avg_month_earn_volumen,avg_month_earn_tx_amount,avg_month_fiat_cashin_volumen,avg_month_fiat_cashin_tx_amount,avg_month_crypto_cashin_volumen,avg_month_crypto_cashin_tx_amount,avg_month_fiat_cashout_volumen,avg_month_fiat_cashout_tx_amount,avg_month_crypto_cashout_volumen,avg_month_crypto_cashout_tx_amount
user_00001,1,1.1,150,4.96,1,0.0,0,0.0,0.0,0,0.13,1,0.0,0,0.14,2,0.0,0
user_00002,2,8.8,257,81.71,1,243.03,9,0.0,0.0,0,266.93,4,0.0,0,51.1,1,0.0,0
user_00003,1,1.0,325,4.15,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1
user_00004,1,4.9,76,51.45,1,0.0,0,346.59,0.0,0,319.17,1,0.0,0,0.0,1,333.37,1
user_00005,2,3.2,157,19.63,1,0.0,0,1.21,0.0,0,0.0,1,0.0,0,1.1,0,0.0,1
user_00006,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00007,13,12.6,3,0.0,0,2.84,1,12.14,0.07,25,12.81,0,0.0,1,9.47,0,0.0,0
user_00008,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00009,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00010,4,7.0,123,459.14,1,0.0,0,0.0,0.0,0,1074.54,145,0.0,0,1098.1,27,0.0,0
user_00011,2,4.4,124,4.9,1,0.0,0,23.24,0.0,1,14.65,0,0.0,0,6.95,0,6.9,0
user_00012,2,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00013,1,4.3,105,21.12,1,0.0,1,0.0,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0
user_00014,5,10.5,21,7.92,1,0.0,1,0.31,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
user_00015,5,9.8,152,55.2,1,0.0,0,0.0,0.0,1,1663.96,27,0.0,0,1709.03,30,0.0,0
user_00016,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00017,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00018,9,5.9,1,0.0,0,1.15,1,6.52,0.03,2,92.94,5,0.0,0,87.51,9,0.0,0
user_00019,1,1.1,249,5.84,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00020,1,12.9,312,193.65,1,529.57,23,0.0,0.0,0,537.08,17,0.0,0,9.29,1,0.0,0
user_00021,1,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0
user_00022,1,1.0,282,3.89,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,1
user_00023,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0
user_00024,1,3.5,131,121.56,1,0.0,0,11.0,0.0,1,0.0,0,11.23,3,10.82,3,0.0,0
user_00025,5,6.6,39,18.71,1,38.09,3,0.0,0.05,2,212.89,2,0.0,0,181.85,4,0.0,0
user_00026,2,2.2,302,32.93,1,0.0,1,0.0,0.0,0,1317.56,7,0.0,0,1312.37,2,0.0,0
user_00027,7,1.9,31,5.82,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00028,2,2.8,281,22.38,1,0.0,0,0.0,0.0,0,2.09,0,0.0,1,2.1,1,0.0,0
user_00029,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00030,2,2.6,206,13.52,1,0.0,0,0.0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0
user_00031,1,2.1,257,9.14,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00032,3,3.0,56,13.86,1,0.0,0,0.44,0.0,0,0.49,0,0.0,0,0.0,0,0.0,0
user_00033,2,4.6,53,25.6,1,0.0,0,0.0,0.0,9,0.03,0,0.0,0,0.04,0,0.0,1
user_00034,1,1.0,119,3.86,1,0.0,0,0.0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0
user_00035,4,3.6,24,6.87,1,0.0,1,0.35,0.0,1,7.21,1,0.0,0,7.5,2,0.0,0
user_00036,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00037,13,2.9,1,0.0,0,0.0,0,5.8,0.01,3,0.17,0,5.91,2,5.87,2,0.0,1
user_00038,2,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00039,1,8.2,327,124.67,1,230.85,10,0.0,0.0,0,304.97,8,0.0,0,64.08,2,0.0,0
user_00040,1,3.8,90,234.92,1,0.0,1,29.4,0.0,0,0.0,0,28.28,5,28.7,3,0.0,0
user_00041,4,13.2,1,0.0,0,24.68,6,0.9,0.0,0,205.6,16,0.0,1,171.06,27,0.0,0
user_00042,1,1.0,80,19.29,1,0.0,0,1.68,0.0,0,2.36,1,0.0,1,4.22,1,0.0,0
user_00043,1,,,0.0,1,0.0,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1
user_00044,1,0.9,303,4.27,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00045,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00046,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00047,1,5.1,166,40.42,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00048,1,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00049,3,2.2,212,4.31,1,0.0,0,0.0,0.0,0,1.2,0,0.0,0,1.14,0,0.0,0
user_00050,1,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0
user_00051,1,1.0,219,6.08,1,0.0,0,0.0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0
user_00052,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00053,1,2.0,312,9.31,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00054,4,3.7,63,4.61,1,2.03,0,2.42,0.08,3,26.87,2,0.0,0,23.87,2,0.0,0
user_00055,1,1.1,363,3.61,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00056,1,1.0,247,5.07,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
user_00057,10,9.7,15,70.14,1,0.0,0,0.0,0.09,3,84.23,5,0.0,0,74.49,5,0.0,1
user_00058,1,1.1,323,4.51,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1
user_00059,1,1.0,244,4.48,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1
user_00060,2,1.2,271,5.03,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00061,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00062,1,1.1,360,5.11,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00063,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00064,1,1.1,323,4.98,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00065,1,1.1,201,5.49,1,0.0,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00066,1,1.8,265,10.74,1,0.0,1,0.0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0
user_00067,6,16.3,1,0.0,0,6.82,1,0.18,1.03,24,151.12,5,0.0,0,147.91,15,0.0,0
user_00068,1,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1
user_00069,2,9.6,101,12.39,1,1.36,0,0.0,0.09,3,28.4,2,0.0,0,25.08,1,0.0,0
user_00070,2,2.1,88,4.61,1,0.0,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00071,3,1.2,65,4.27,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00072,1,1.1,208,4.23,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00073,1,1.6,342,8.79,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0
user_00074,3,0.9,72,5.81,1,0.0,0,0.27,0.0,0,0.0,0,0.0,0,0.24,0,0.0,0
user_00075,1,1.0,87,4.3,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00076,1,1.1,85,35.26,1,0.0,0,46.8,0.0,0,23.17,1,0.0,1,20.61,1,0.0,0
user_00077,1,1.9,169,28.38,1,0.0,0,0.84,0.0,1,0.0,0,0.0,0,0.83,0,0.0,0
user_00078,5,4.4,43,35.03,1,0.0,1,0.0,0.0,1,3406.32,4,0.0,0,3101.5,4,0.0,0
user_00079,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00080,1,0.9,147,3.4,1,0.0,0,0.0,0.0,1,0.0,1,0.0,0,0.0,1,0.0,1
user_00081,1,0.9,275,4.7,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00082,1,2.5,113,276.15,1,0.0,0,0.0,0.0,1,3909.07,10,0.0,0,3769.14,132,0.0,0
user_00083,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00084,12,8.7,294,0.0,0,0.0,0,0.15,0.58,36,89.48,1,0.0,0,94.0,4,0.0,0
user_00085,1,2.7,228,13.02,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1
user_00086,2,0.9,326,5.68,1,0.0,1,0.0,0.0,1,0.23,0,0.0,0,0.0,0,0.0,0
user_00087,1,1.9,242,10.26,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0
user_00088,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00089,2,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00090,2,3.2,54,53.58,1,0.0,1,1.06,0.0,0,0.54,0,0.0,1,0.5,0,0.0,1
user_00091,1,4.8,269,123.58,1,3.6,6,0.0,0.0,1,7.75,5,0.0,0,1.07,0,0.0,1
user_00092,1,1.0,142,35.31,1,0.4,1,3.64,0.0,0,0.41,1,0.0,0,3.56,2,0.0,0
user_00093,1,2.2,78,36.66,1,0.0,0,5.14,0.0,0,60.12,2,0.0,0,66.17,0,0.0,0
user_00094,2,4.3,303,7.74,1,0.0,0,16.76,0.01,1,4.64,0,0.0,0,4.01,0,0.0,0
user_00095,8,7.8,11,0.0,0,0.39,1,5.45,0.0,1,239.56,2,204.32,1,229.29,5,186.62,0
user_00096,1,1.0,77,4.15,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00097,2,1.1,97,4.29,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00098,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00099,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,1
user_00100,1,1.0,79,18.57,1,0.0,1,1.61,0.0,1,1.91,2,0.0,0,3.32,2,0.0,1
user_00101,1,2.3,292,6.38,1,0.0,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00102,4,4.6,88,11.8,1,0.0,0,2.82,0.0,0,1.16,0,0.0,0,1.83,0,0.0,0
user_00103,1,2.2,290,6.04,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0
user_00104,1,0.9,328,4.35,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0
user_00105,1,,,0.0,1,0.0,1,0.0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0
user_00106,1,,,0.0,1,0.0,0,0.0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,1
user_00107,1,1.0,238,4.9,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00108,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0
user_00109,2,4.4,55,60.18,1,0.0,1,15.66,0.0,5,18.45,2,0.0,0,0.0,1,16.8,1
user_00110,3,2.0,143,5.18,1,0.0,0,0.0,0.0,1,0.02,0,0.0,0,0.0,0,0.0,0
user_00111,1,1.0,243,5.27,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00112,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00113,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00114,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00115,3,10.5,9,155.95,1,0.0,0,0.0,0.0,0,107.36,5,0.0,0,105.92,8,0.0,0
user_00116,4,3.5,95,4.35,1,0.0,0,0.0,0.0,1,0.86,0,0.0,1,0.8,1,0.0,1
user_00117,1,0.9,304,5.23,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1
user_00118,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0
user_00119,1,1.0,90,4.4,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0
user_00120,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1
user_00121,2,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1
user_00122,2,0.9,157,4.17,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00123,3,3.1,31,9.35,1,0.0,1,0.0,0.0,0,59.65,2,0.0,1,61.85,0,0.0,1
user_00124,1,0.8,317,3.69,1,0.0,1,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00125,1,3.1,101,12.55,1,0.0,1,0.0,0.0,0,0.39,0,0.0,1,0.36,1,0.0,0
user_00126,1,1.5,281,9.93,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
user_00127,1,1.0,307,2.79,1,0.0,1,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0
user_00128,1,1.1,249,5.63,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00129,2,2.2,182,5.03,1,0.0,0,0.0,0.0,1,0.45,1,0.0,0,0.42,0,0.0,0
user_00130,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00131,1,1.2,315,4.76,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00132,4,10.4,1,0.0,0,92.23,6,45.58,0.34,4,268.05,2,42.97,0,179.87,8,50.11,0
user_00133,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00134,2,3.1,311,5.27,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1
user_00135,5,19.8,00:00:00,0.0,0,21.57,8,6.74,0.14,12,254.51,17,6.35,2,241.17,43,0.0,0
user_00136,2,1.0,242,31.21,1,0.0,0,3.89,0.0,0,0.0,0,3.81,0,3.96,0,0.0,0
user_00137,1,2.1,234,10.43,1,0.0,0,0.0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,1
user_00138,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00139,13,7.4,1,0.0,0,0.0,1,0.0,11.21,17,107.46,1,0.0,0,47.98,0,0.0,0
user_00140,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00141,3,,,0.0,1,0.0,0,0.0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0
user_00142,2,4.2,123,18.13,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0
user_00143,1,1.0,251,5.35,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00144,1,2.9,235,33.73,1,5.0,1,2.26,0.0,1,5.78,2,0.0,0,2.34,0,0.0,0
user_00145,1,1.0,315,5.35,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00146,1,1.0,252,3.65,1,0.0,0,0.0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0
user_00147,1,0.9,341,4.88,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00148,1,2.1,75,8.61,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1
user_00149,1,0.9,281,3.76,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00150,5,15.3,2,0.0,0,22.65,4,0.0,0.0,0,292.08,68,0.0,1,262.94,21,0.0,0
user_00151,2,3.1,78,4.31,1,0.0,0,0.62,0.0,0,0.34,0,0.0,0,0.26,1,0.0,0
user_00152,6,3.4,214,4.61,1,63.54,2,0.24,0.0,0,99.9,2,0.0,0,0.0,1,0.0,0
user_00153,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00154,2,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0
user_00155,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00156,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00157,6,10.9,18,3.43,1,0.0,0,2.59,0.0,0,2.76,0,0.0,0,0.0,0,2.5,0
user_00158,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00159,13,2.0,336,0.0,0,0.0,0,0.0,0.02,17,21.04,0,0.0,0,21.48,0,0.0,1
user_00160,1,1.0,367,4.01,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00161,1,3.4,141,34.82,1,0.0,0,0.76,0.0,0,0.0,0,0.0,0,0.76,1,0.0,1
user_00162,1,1.0,324,4.57,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00163,1,1.0,84,6.32,1,0.0,0,0.0,0.0,0,0.08,1,0.0,0,0.0,1,0.0,0
user_00164,3,7.4,167,33.03,1,0.81,0,0.0,0.0,0,40.22,7,0.0,0,37.71,6,0.0,0
user_00165,1,1.0,347,3.8,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00166,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00167,3,8.1,36,22.78,1,0.0,1,26.6,0.02,5,12.84,1,0.0,0,11.64,0,0.0,0
user_00168,2,1.1,83,8.78,1,0.0,0,0.0,0.0,0,0.01,1,0.0,0,0.0,0,0.0,0
user_00169,1,1.0,318,3.43,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
user_00170,1,0.9,248,6.3,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00171,4,6.3,39,0.0,0,0.0,0,0.0,0.67,12,162.13,0,0.0,0,172.91,1,0.0,0
user_00172,9,1.0,95,5.29,1,1.72,0,5.22,0.01,4,2.53,0,0.0,1,0.66,0,0.0,0
user_00173,2,0.8,339,4.81,1,8.61,0,0.0,0.0,1,19.43,1,0.0,1,0.0,0,0.0,1
user_00174,2,5.0,339,5.22,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00175,5,16.4,92,25.4,1,1.03,0,77.93,1.75,1,727.66,36,0.0,1,704.98,4,0.0,0
user_00176,1,0.9,213,4.28,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00177,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00178,1,1.1,356,4.23,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0
user_00179,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00180,3,4.5,302,4.13,1,92.87,3,13.99,0.0,0,147.87,1,0.0,1,28.87,0,14.31,0
user_00181,1,0.9,308,4.91,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00182,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00183,1,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00184,1,1.2,168,18.4,1,0.0,0,0.77,0.0,1,0.0,1,0.0,0,0.79,1,0.0,0
user_00185,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1
user_00186,1,1.0,116,4.41,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00187,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00188,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00189,1,0.9,137,4.25,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
user_00190,1,1.0,266,6.57,1,0.0,0,0.0,0.0,0,0.41,0,0.0,1,0.0,0,0.0,0
user_00191,1,1.0,286,6.23,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00192,1,1.8,143,39.22,1,0.41,1,3.97,0.0,0,0.4,0,0.0,0,4.22,2,0.0,0
user_00193,2,1.9,54,4.09,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00194,10,11.4,1,0.0,0,19.91,0,0.0,0.0,0,484.49,6,0.0,1,465.17,14,0.0,1
user_00195,1,1.0,80,3.11,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
user_00196,1,1.9,162,26.68,1,0.0,0,0.81,0.0,0,0.0,0,0.0,1,0.7,1,0.0,0
user_00197,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00198,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,1
user_00199,2,2.0,227,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00200,2,1.1,231,8.65,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0
user_00201,1,0.9,170,24.02,1,0.0,1,2.18,0.0,0,0.0,0,0.0,0,2.29,0,0.0,1
user_00202,1,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0
user_00203,1,2.1,290,9.16,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
user_00204,2,1.9,133,21.44,1,0.0,0,0.37,0.0,1,0.0,0,0.0,0,0.37,1,0.0,1
user_00205,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1
user_00206,3,6.8,263,68.19,1,53.53,5,23.24,0.06,14,60.31,2,0.0,1,8.47,1,0.0,1
user_00207,2,1.1,86,4.01,1,0.0,1,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0
user_00208,1,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0
user_00209,1,1.6,70,9.68,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00210,1,2.1,366,8.15,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00211,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
user_00212,4,4.1,265,8.69,1,335.2,14,1.56,0.0,1,354.94,3,0.0,0,33.64,2,0.0,0
user_00213,3,1.7,29,5.22,1,0.0,0,23.7,0.0,0,11.94,0,0.0,0,11.75,0,0.0,1
user_00214,1,2.0,83,10.22,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
user_00215,1,,,0.0,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1
user_00216,4,23.2,00:00:00,0.0,0,73.86,62,161.32,0.02,6,196.86,38,0.09,0,97.9,37,0.29,0
user_00217,1,0.9,227,3.93,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0
user_00218,1,2.2,278,13.77,1,0.0,0,0.0,0.0,1,0.02,1,0.0,0,0.0,1,0.0,0
user_00219,1,4.0,122,16.71,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
user_00220,4,2.6,241,7.5,1,0.0,0,0.11,0.0,0,0.04,0,0.0,0,0.0,0,0.0,0
