user_id,active_month,avg_month_logins_amount,days_since_last_login,frecuency_score_last_active_month,is_churn,avg_month_fiat_payment_volumen,avg_month_fiat_payment_tx_amount,avg_month_crypto_payment_volumen,avg_month_earn_volumen,avg_month_earn_tx_amount,avg_month_fiat_cashin_volumen,avg_month_fiat_cashin_tx_amount,avg_month_crypto_cashin_volumen,avg_month_crypto_cashin_tx_amount,avg_month_fiat_cashout_volumen,avg_month_fiat_cashout_tx_amount,avg_month_crypto_cashout_volumen,avg_month_crypto_cashout_tx_amount,total_avg_tx_count,is_engaged
user_00002,2,8.8,257,81.71,1,243.03,9,0.0,0.0,0,266.93,4,0.0,0,51.1,1,0.0,0,14,True
user_00005,2,3.2,157,19.63,1,0.0,0,1.21,0.0,0,0.0,1,0.0,0,1.1,0,0.0,1,2,True
user_00007,13,12.6,3,0.0,0,2.84,1,12.14,0.07,25,12.81,0,0.0,1,9.47,0,0.0,0,27,True
user_00010,4,7.0,123,459.14,1,0.0,0,0.0,0.0,0,1074.54,145,0.0,0,1098.1,27,0.0,0,172,True
user_00011,2,4.4,124,4.9,1,0.0,0,23.24,0.0,1,14.65,0,0.0,0,6.95,0,6.9,0,1,True
user_00012,2,,,0.0,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1,True
user_00014,5,10.5,21,7.92,1,0.0,1,0.31,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2,True
user_00015,5,9.8,152,55.2,1,0.0,0,0.0,0.0,1,1663.96,27,0.0,0,1709.03,30,0.0,0,58,True
user_00018,9,5.9,1,0.0,0,1.15,1,6.52,0.03,2,92.94,5,0.0,0,87.51,9,0.0,0,17,True
user_00025,5,6.6,39,18.71,1,38.09,3,0.0,0.05,2,212.89,2,0.0,0,181.85,4,0.0,0,11,True
user_00026,2,2.2,302,32.93,1,0.0,1,0.0,0.0,0,1317.56,7,0.0,0,1312.37,2,0.0,0,10,True
user_00027,7,1.9,31,5.82,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1,True
user_00028,2,2.8,281,22.38,1,0.0,0,0.0,0.0,0,2.09,0,0.0,1,2.1,1,0.0,0,2,True
user_00030,2,2.6,206,13.52,1,0.0,0,0.0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,2,True
user_00032,3,3.0,56,13.86,1,0.0,0,0.44,0.0,0,0.49,0,0.0,0,0.0,0,0.0,0,0,True
user_00033,2,4.6,53,25.6,1,0.0,0,0.0,0.0,9,0.03,0,0.0,0,0.04,0,0.0,1,10,True
user_00035,4,3.6,24,6.87,1,0.0,1,0.35,0.0,1,7.21,1,0.0,0,7.5,2,0.0,0,5,True
user_00037,13,2.9,1,0.0,0,0.0,0,5.8,0.01,3,0.17,0,5.91,2,5.87,2,0.0,1,8,True
user_00038,2,,,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1,True
user_00041,4,13.2,1,0.0,0,24.68,6,0.9,0.0,0,205.6,16,0.0,1,171.06,27,0.0,0,50,True
user_00049,3,2.2,212,4.31,1,0.0,0,0.0,0.0,0,1.2,0,0.0,0,1.14,0,0.0,0,0,True
user_00054,4,3.7,63,4.61,1,2.03,0,2.42,0.08,3,26.87,2,0.0,0,23.87,2,0.0,0,7,True
user_00057,10,9.7,15,70.14,1,0.0,0,0.0,0.09,3,84.23,5,0.0,0,74.49,5,0.0,1,14,True
user_00060,2,1.2,271,5.03,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,True
user_00067,6,16.3,1,0.0,0,6.82,1,0.18,1.03,24,151.12,5,0.0,0,147.91,15,0.0,0,45,True
user_00069,2,9.6,101,12.39,1,1.36,0,0.0,0.09,3,28.4,2,0.0,0,25.08,1,0.0,0,6,True
user_00070,2,2.1,88,4.61,1,0.0,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2,True
user_00071,3,1.2,65,4.27,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,1,True
user_00078,5,4.4,43,35.03,1,0.0,1,0.0,0.0,1,3406.32,4,0.0,0,3101.5,4,0.0,0,10,True
user_00084,12,8.7,294,0.0,0,0.0,0,0.15,0.58,36,89.48,1,0.0,0,94.0,4,0.0,0,41,True
